timestamp,station_id,city,temperature,humidity,pressure,wind_speed,rainfall
2025-01-01 00:00,AWS_005,Bengaluru,16.0,84,912.6,11.1,0.0
2025-01-01 01:00,AWS_005,Bengaluru,16.8,93,913.4,11.4,0.0
2025-01-01 02:00,AWS_005,Bengaluru,17.2,90,914.2,10.9,0.0
2025-01-01 03:00,AWS_005,Bengaluru,19.1,80,915.6,10.6,0.0
2025-01-01 04:00,AWS_005,Bengaluru,21.3,65,916.3,12.6,0.0
2025-01-01 05:00,AWS_005,Bengaluru,23.2,54,916.6,14.1,0.0
2025-01-01 06:00,AWS_005,Bengaluru,24.7,47,916.4,14.7,0.0
2025-01-01 07:00,AWS_005,Bengaluru,25.7,44,915.7,14.7,0.0
2025-01-01 08:00,AWS_005,Bengaluru,26.1,44,914.5,14.4,0.0
2025-01-01 09:00,AWS_005,Bengaluru,26.6,43,913.7,13.5,0.0
2025-01-01 10:00,AWS_005,Bengaluru,26.5,43,913.0,13.4,0.0
2025-01-01 11:00,AWS_005,Bengaluru,25.9,45,912.5,13.2,0.0
2025-01-01 12:00,AWS_005,Bengaluru,24.9,48,912.6,12.3,0.0
2025-01-01 13:00,AWS_005,Bengaluru,23.2,54,913.3,10.2,0.0
2025-01-01 14:00,AWS_005,Bengaluru,22.1,58,913.9,10.3,0.0
2025-01-01 15:00,AWS_005,Bengaluru,21.0,62,914.4,9.0,0.0
2025-01-01 16:00,AWS_005,Bengaluru,19.9,68,915.0,9.7,0.0
2025-01-01 17:00,AWS_005,Bengaluru,18.9,76,914.8,9.4,0.0
2025-01-01 18:00,AWS_005,Bengaluru,18.2,84,914.4,10.1,0.0
2025-01-01 19:00,AWS_005,Bengaluru,17.6,92,913.7,10.1,0.0
2025-01-01 20:00,AWS_005,Bengaluru,17.1,97,912.9,9.6,0.0
2025-01-01 21:00,AWS_005,Bengaluru,16.8,98,912.4,9.3,0.0
2025-01-01 22:00,AWS_005,Bengaluru,16.6,99,911.9,9.3,0.0
2025-01-01 23:00,AWS_005,Bengaluru,16.3,99,911.7,9.3,0.0
2025-01-02 00:00,AWS_005,Bengaluru,16.2,99,912.1,9.2,0.0
2025-01-02 01:00,AWS_005,Bengaluru,16.4,94,913.0,11.5,0.0
